Generation BestFit MeanFit BestFitMA MeanFitMA
367 3584.491893 9193.239719 3593.80710469999 15038.597543666639
368 3552.078173 13381.235132 3594.7131161333232 14970.18576396664
369 3663.011343 11690.359085 3595.6864502666567 14768.971615333307
370 3613.569086 19866.428258 3596.053348566657 14857.005888433307
371 3554.019943 15182.746012 3592.9536350666572 14827.535328933307
372 3469.826539 16302.619753 3592.1435079333237 14927.147946966639
373 3483.047614 16685.81431 3588.94136189999 14999.215294999973
374 3631.119758 15482.111581 3590.4814244666568 14859.690404399971
375 3631.021147 12394.629765 3590.8436131999906 14587.957795799972
376 3648.104708 10407.15114 3591.5881638666569 14492.769106766638
377 3575.93919 12369.0616 3591.5881692999906 14368.645113033304
378 3644.338164 10636.267147 3593.5905921333242 14177.416043733305
379 3640.700606 20056.787926 3594.8319441333238 14365.338727499971
380 3623.536959 17743.504449 3595.1340657999908 14481.898520833305
381 3555.988859 11603.498489 3594.4555496333246 14291.953550699973
382 3645.537109 12971.482366 3593.4787978999907 14045.085735333305
383 3666.381981 19280.61373 3595.8226367333241 14208.048961433304
384 3525.827256 14471.989993 3592.2568158999907 14215.754170633305
385 3564.099128 19807.890219 3589.086874933324 14461.037113766639
386 3596.459097 16022.8847 3587.7243005666573 14532.582776433304
387 3522.803077 16956.278566 3584.3294336666572 14614.448981633304
388 3608.480346 17686.734691 3585.0524013333238 14723.796425799974
389 3630.012521 17587.386927 3586.5831027333238 14861.910905699973
390 3617.089217 12143.472267 3586.5684475333237 14761.861246566639
391 3604.827924 17493.953262 3589.07513309999 14877.071524599973
392 3569.752896 16527.342459 3586.73379869999 14910.286168499972
393 3651.791442 12913.393507 3588.7376354999897 15007.714718733305
394 3592.12781 14712.050024 3594.3162960999903 14981.338274666638
395 3607.097359 17545.169406 3594.4166143999905 15036.644762866637
396 3624.054706 15850.453042 3596.5711950333234 15165.551650833304
397 3629.748423 13975.454261 3598.0797460333238 15324.958802233303
398 3609.263073 16481.835854 3599.9859093666569 15428.312159633302
399 3575.108543 13734.691375 3597.055816033323 15496.456569299969
400 3592.41317 14352.416416 3596.3506188333226 15312.656174566635
401 3612.775795 17822.564813 3598.3091472333226 15400.650134599968
402 3581.436838 18029.093558 3602.0294905333221 15458.199261433301
403 3627.050542 18792.409761 3606.8295881333224 15528.419109799968
404 3619.889078 12377.147775 3606.4552321333222 15424.920316266636
405 3638.35477 16252.737117 3606.6996862333222 15553.523894666636
406 3558.996283 15450.200001 3603.7294053999885 15721.625523366638
407 3589.058108 15609.540861 3604.1667026666551 15829.641498733305
408 3583.829626 13315.826576 3602.1497513999884 15918.960146366639
409 3570.698995 14823.522719 3599.8163643666553 15744.517972799971
410 3637.863193 14510.127797 3600.2939054999883 15636.738751066638
411 3655.861438 14878.909807 3603.6229914666551 15745.919128333304
412 41515.547559 18740.452327 4865.9566731333216 15938.218127033302
413 3653.712361 11645.591504 4865.534352466655 15683.717386166636
414 3617.308289 16958.544302 4868.5837202333223 15766.602529799971
415 3597.62061 17039.908188 4869.7011029666564 15674.336462099973
416 3528.839605 16440.671876 4867.4471198999881 15688.262701299973
417 3559.493882 18625.11199 4868.6701467333223 15743.890482099972
418 3603.80306 12137.027942 4868.5142371999891 15558.900257133306
419 3572.388881 17605.76356 4866.59344919999 15559.512811566639
420 3625.550659 14342.839907 4866.8754972666557 15632.825066233307
421 3640.305254 18613.846364 4868.0580749333221 15670.154836299973
422 3564.819273 16694.267804 4867.8936208333225 15675.71901446664
423 3504.874125 13439.281333 4862.9963769333235 15693.248608666639
424 3638.096605 12797.227214 4864.5286700999895 15629.421181666639
425 3626.210651 14801.909504 4865.1657798333226 15537.979184933305
426 3597.145937 17895.044036 4864.2688208666559 15606.132218066638
427 3649.017331 15028.326182 4864.9111177999894 15641.227948766638
428 3522.691874 15230.474052 4862.0254111666563 15599.515888699971
429 3588.312382 14459.570698 4862.4655391333226 15623.678532799971
430 3636.140294 14808.825109 4863.9231099333228 15638.892155899974
431 3615.82011 13433.311378 4864.02458709999 15492.583708066641
432 3613.703115 16988.513149 4865.1001296666564 15457.897694433308
433 3722.673022 17471.478235 4868.2875456666561 15413.86664356664
434 3646.596955 13235.433196 4869.1778082333221 15442.476157599973
435 3586.434225 13290.909836 4867.4471233999893 15343.74858156664
436 3603.386779 12385.384299 4868.9268065999895 15241.588058166641
437 3595.113253 15502.653378 4869.1286447666553 15238.025142066641
438 3659.132083 14416.341429 4871.6387266666561 15274.708970499974
439 3541.510106 17239.170575 4870.6657636999889 15355.230565699974
440 3661.123991 16362.974183 4871.4411236333226 15416.992111899974
441 3534.814795 17551.970055 4867.4062355333235 15506.094120166639
442 3608.627602 18347.430283 3603.8422369666564 15492.993385366639
443 3614.496751 15799.527804 3602.5350499666561 15631.457928699972
444 3596.72259 19313.664013 3601.84885999999 15709.961919066638
445 3598.734064 12935.665065 3601.8859751333234 15573.153814966639
446 3614.454875 15131.244525 3604.7398174666569 15529.506236599971
447 3604.976308 17569.904036 3606.2558983333233 15494.332638133306
448 3531.386208 16912.411532 3603.8420032666563 15653.512091133305
449 43681.269241 16429.872036 4940.804681933324 15614.315706999972
450 3592.405786 11826.965604 4939.6998528333233 15530.453230233306
451 3621.426255 18895.980102 4939.0705528666567 15539.857688166639
452 3479.751587 16501.122075 4936.2349633333233 15533.419497199973
